District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Gender,Major field of study,In number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Humanities and arts,28
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Business & administration,60
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Education,102
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Science,14
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Health,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,"Engineering, manuf. and construction",2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Law,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Social & behavioural science,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Mathematics and statistics,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,"Agriculture, forestry & fishery",4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Computing,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Journalism and information,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15-19 Yrs,Male,Not stated,58
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Humanities and arts,235
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Business & administration,200
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Education,701
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Science,55
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Health,59
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,"Engineering, manuf. and construction",6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Law,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Social & behavioural science,79
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Mathematics and statistics,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,"Agriculture, forestry & fishery",12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Computing,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Journalism and information,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Others,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20-24 Yrs,Male,Not stated,285
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Humanities and arts,246
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Business & administration,118
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Education,624
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Science,39
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Health,63
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,"Engineering, manuf. and construction",7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Law,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25-29 Yrs,Male,Social & behavioural science,91
