District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Gender,Population who are,Number
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Never Married,19167
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Single married,43
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Mutiple married,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Re-married,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Widow- Widower,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Divorced,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,10 - 14 Years,Male,Separated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Never Married,11194
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Single married,1189
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Mutiple married,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Re-married,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Widow- Widower,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Divorced,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 19 Years,Male,Separated,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Never Married,3242
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Single married,4847
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Mutiple married,44
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Re-married,90
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Widow- Widower,10
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Divorced,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,20 - 24 Years,Male,Separated,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Never Married,739
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Single married,6261
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Mutiple married,100
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Re-married,181
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Widow- Widower,13
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Divorced,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,25 - 29 Years,Male,Separated,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Never Married,203
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Single married,4951
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Mutiple married,128
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Re-married,210
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Widow- Widower,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,30 - 34 Years,Male,Divorced,7
