District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 Year,Population aged 5 years & above,4398
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 Year,Can read & write,1190
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 Year,Can read only,851
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 Year,Can't read & write,2331
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 Year,Literacy not stated,26
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,06 Year,Population aged 5 years & above,4184
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,06 Year,Can read & write,1970
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,06 Year,Can read only,586
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,06 Year,Can't read & write,1621
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,06 Year,Literacy not stated,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,07 Year,Population aged 5 years & above,3707
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,07 Year,Can read & write,2443
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,07 Year,Can read only,371
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,07 Year,Can't read & write,890
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,07 Year,Literacy not stated,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,08 Year,Population aged 5 years & above,4306
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,08 Year,Can read & write,3374
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,08 Year,Can read only,300
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,08 Year,Can't read & write,626
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,08 Year,Literacy not stated,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,09 Year,Population aged 5 years & above,3360
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,09 Year,Can read & write,2887
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,09 Year,Can read only,144
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,09 Year,Can't read & write,328
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,09 Year,Literacy not stated,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 Year,Population aged 5 years & above,4373
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 Year,Can read & write,3985
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 Year,Can read only,133
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 Year,Can't read & write,253
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 Year,Literacy not stated,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,11 Year,Population aged 5 years & above,3174
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,11 Year,Can read & write,3016
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,11 Year,Can read only,61
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,11 Year,Can't read & write,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,11 Year,Literacy not stated,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,12 Year,Population aged 5 years & above,4741
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,12 Year,Can read & write,4529
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,12 Year,Can read only,48
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,12 Year,Can't read & write,164
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,12 Year,Literacy not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,13 Year,Population aged 5 years & above,3410
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,13 Year,Can read & write,3280
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,13 Year,Can read only,34
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,13 Year,Can't read & write,95
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,13 Year,Literacy not stated,1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,14 Year,Population aged 5 years & above,3512
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,14 Year,Can read & write,3393
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,14 Year,Can read only,18
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,14 Year,Can't read & write,98
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,14 Year,Literacy not stated,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 Year,Population aged 5 years & above,2980
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 Year,Can read & write,2859
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 Year,Can read only,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 Year,Can't read & write,99
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 Year,Literacy not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,16 - 19 Years,Population aged 5 years & above,9428
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,16 - 19 Years,Can read & write,8715
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,16 - 19 Years,Can read only,75
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,16 - 19 Years,Can't read & write,636
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,16 - 19 Years,Literacy not stated,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Population aged 5 years & above,8256
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Can read & write,7078
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Can read only,138
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Can't read & write,1036
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Literacy not stated,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Population aged 5 years & above,7310
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Can read & write,5814
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Can read only,147
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Can't read & write,1344
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,25 - 29 Years,Literacy not stated,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Population aged 5 years & above,5510
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Can read & write,4020
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Can read only,141
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Can't read & write,1347
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,30 - 34 Years,Literacy not stated,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Population aged 5 years & above,5457
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Can read & write,3549
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Can read only,175
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Can't read & write,1726
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,35 - 39 Years,Literacy not stated,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Population aged 5 years & above,4239
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Can read & write,2461
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Can read only,98
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Can't read & write,1674
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,40 - 44 Years,Literacy not stated,6
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Population aged 5 years & above,4051
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Can read & write,2066
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Can read only,98
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Can't read & write,1880
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,45 - 49 Years,Literacy not stated,7
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Population aged 5 years & above,3384
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Can read & write,1511
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,50 - 54 Years,Can read only,105
