District,Gender,Age-Group,Usual Activity performed,Value
Taplejung,Male,10 - 14 Years,Total Person,8615
Taplejung,Male,10 - 14 Years,Own agriculture,1788
Taplejung,Male,10 - 14 Years,Wage/salary earning,175
Taplejung,Male,10 - 14 Years,Own non- agricultural,226
Taplejung,Male,10 - 14 Years,Extended economic,577
Taplejung,Male,10 - 14 Years,Seeking job,84
Taplejung,Male,10 - 14 Years,Household chores,1613
Taplejung,Male,10 - 14 Years,Study,7821
Taplejung,Male,10 - 14 Years,Non of activity,1412
Taplejung,Male,10 - 14 Years,Activity not stated,50
Taplejung,Male,15 - 19 Years,Total Person,7627
Taplejung,Male,15 - 19 Years,Own agriculture,2809
Taplejung,Male,15 - 19 Years,Wage/salary earning,842
Taplejung,Male,15 - 19 Years,Own non- agricultural,475
Taplejung,Male,15 - 19 Years,Extended economic,900
Taplejung,Male,15 - 19 Years,Seeking job,467
Taplejung,Male,15 - 19 Years,Household chores,1459
Taplejung,Male,15 - 19 Years,Study,5685
Taplejung,Male,15 - 19 Years,Non of activity,684
Taplejung,Male,15 - 19 Years,Activity not stated,25
Taplejung,Male,20 - 24 Years,Total Person,4207
Taplejung,Male,20 - 24 Years,Own agriculture,2384
Taplejung,Male,20 - 24 Years,Wage/salary earning,1229
Taplejung,Male,20 - 24 Years,Own non- agricultural,781
Taplejung,Male,20 - 24 Years,Extended economic,708
Taplejung,Male,20 - 24 Years,Seeking job,399
Taplejung,Male,20 - 24 Years,Household chores,749
Taplejung,Male,20 - 24 Years,Study,1489
Taplejung,Male,20 - 24 Years,Non of activity,618
Taplejung,Male,20 - 24 Years,Activity not stated,16
Taplejung,Male,25 - 29 Years,Total Person,3082
Taplejung,Male,25 - 29 Years,Own agriculture,2117
Taplejung,Male,25 - 29 Years,Wage/salary earning,1092
Taplejung,Male,25 - 29 Years,Own non- agricultural,635
Taplejung,Male,25 - 29 Years,Extended economic,635
Taplejung,Male,25 - 29 Years,Seeking job,373
Taplejung,Male,25 - 29 Years,Household chores,720
Taplejung,Male,25 - 29 Years,Study,339
Taplejung,Male,25 - 29 Years,Non of activity,449
Taplejung,Male,25 - 29 Years,Activity not stated,0
Taplejung,Male,30 - 34 Years,Total Person,2804
Taplejung,Male,30 - 34 Years,Own agriculture,2064
Taplejung,Male,30 - 34 Years,Wage/salary earning,1150
Taplejung,Male,30 - 34 Years,Own non- agricultural,685
Taplejung,Male,30 - 34 Years,Extended economic,772
Taplejung,Male,30 - 34 Years,Seeking job,315
Taplejung,Male,30 - 34 Years,Household chores,725
Taplejung,Male,30 - 34 Years,Study,87
Taplejung,Male,30 - 34 Years,Non of activity,339
Taplejung,Male,30 - 34 Years,Activity not stated,0
Taplejung,Male,35 - 39 Years,Total Person,2734
Taplejung,Male,35 - 39 Years,Own agriculture,2020
Taplejung,Male,35 - 39 Years,Wage/salary earning,1161
Taplejung,Male,35 - 39 Years,Own non- agricultural,610
Taplejung,Male,35 - 39 Years,Extended economic,628
Taplejung,Male,35 - 39 Years,Seeking job,310
Taplejung,Male,35 - 39 Years,Household chores,585
Taplejung,Male,35 - 39 Years,Study,69
Taplejung,Male,35 - 39 Years,Non of activity,361
Taplejung,Male,35 - 39 Years,Activity not stated,0
Taplejung,Male,40 - 44 Years,Total Person,3000
Taplejung,Male,40 - 44 Years,Own agriculture,2376
