District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Age-Group,Gender,Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Total foreign born population,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,India,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,SAARC country (excluding india),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,ASEAN country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Middle East country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Other Asian country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,European country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,North American country (USA/Canada),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Other countries,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Male,Country not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Total foreign born population,66
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,India,66
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,SAARC country (excluding india),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,ASEAN country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Middle East country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Other Asian country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,European country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,North American country (USA/Canada),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Other countries,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Male,Country not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Total foreign born population,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,India,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,SAARC country (excluding india),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,ASEAN country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Middle East country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Other Asian country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,European country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,North American country (USA/Canada),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Other countries,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,60+ Years,Male,Country not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Total foreign born population,144
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,India,136
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,SAARC country (excluding india),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,ASEAN country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Middle East country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Other Asian country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,European country,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,North American country (USA/Canada),0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Other countries,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,00 - 14 Years,Female,Country not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,15 - 59 Years,Female,Total foreign born population,96
