District,Gender,"Area, Sex and type of activity",Duration of activity performed (in month),Value
 Taplejung,Male,Economic,0, 14842
 Taplejung,Male,Economic,1,560
 Taplejung,Male,Economic,2, 2086
 Taplejung,Male,Economic,3, 595
 Taplejung,Male,Economic,4,732
 Taplejung,Male,Economic,5, 617
 Taplejung,Male,Economic,6,  2774
 Taplejung,Male,Economic,7,  1025
 Taplejung,Male,Economic,8, 2630
 Taplejung,Male,Economic,9,1747
 Taplejung,Male,Economic,10,3701
 Taplejung,Male,Economic,11,  957
 Taplejung,Male,Economic,12,12759
 Taplejung,Male,Extended Economic,0, 36604
 Taplejung,Male,Extended Economic,1, 2151
 Taplejung,Male,Extended Economic,2, 3031
 Taplejung,Male,Extended Economic,3, 986
 Taplejung,Male,Extended Economic,4, 1190
 Taplejung,Male,Extended Economic,5, 203
 Taplejung,Male,Extended Economic,6, 525
 Taplejung,Male,Extended Economic,7,  33
 Taplejung,Male,Extended Economic,8, 88
 Taplejung,Male,Extended Economic,9,25
 Taplejung,Male,Extended Economic,10,49
 Taplejung,Male,Extended Economic,11, 0
 Taplejung,Male,Extended Economic,12,139
 Taplejung,Male,Seeking job,0, 42090
 Taplejung,Male,Seeking job,1,775
 Taplejung,Male,Seeking job,2, 1097
 Taplejung,Male,Seeking job,3, 387
 Taplejung,Male,Seeking job,4,362
 Taplejung,Male,Seeking job,5, 106
 Taplejung,Male,Seeking job,6, 125
 Taplejung,Male,Seeking job,7,0
 Taplejung,Male,Seeking job,8,  8
 Taplejung,Male,Seeking job,9, 0
 Taplejung,Male,Seeking job,10,25
 Taplejung,Male,Seeking job,11, 0
 Taplejung,Male,Seeking job,12, 50
 Taplejung,Male,Non-Economic,0,17215
 Taplejung,Male,Non-Economic,1, 1520
 Taplejung,Male,Non-Economic,2, 3754
 Taplejung,Male,Non-Economic,3,  1253
 Taplejung,Male,Non-Economic,4, 1427
 Taplejung,Male,Non-Economic,5, 491
 Taplejung,Male,Non-Economic,6,  1194
 Taplejung,Male,Non-Economic,7, 280
 Taplejung,Male,Non-Economic,8,738
 Taplejung,Male,Non-Economic,9,  532
 Taplejung,Male,Non-Economic,10,2177
 Taplejung,Male,Non-Economic,11,  495
 Taplejung,Male,Non-Economic,12,13947
 Taplejung,Female,Economic,0,  19623
 Taplejung,Female,Economic,1, 608
 Taplejung,Female,Economic,2, 2434
 Taplejung,Female,Economic,3,  1177
 Taplejung,Female,Economic,4, 2047
 Taplejung,Female,Economic,5,1266
 Taplejung,Female,Economic,6, 5906
 Taplejung,Female,Economic,7,  1995
 Taplejung,Female,Economic,8, 4648
 Taplejung,Female,Economic,9,1758
 Taplejung,Female,Economic,10,3576
 Taplejung,Female,Economic,11,  500
 Taplejung,Female,Economic,12, 6448
 Taplejung,Female,Extended Economic,0,  41515
 Taplejung,Female,Extended Economic,1,  2610
 Taplejung,Female,Extended Economic,2, 3953
 Taplejung,Female,Extended Economic,3,  1584
