District,Gender,Age-Group,Type of activity,Value
Taplejung,Both Sexes,10 - 14 Years,Economic only,  139
Taplejung,Both Sexes,10 - 14 Years,Extended economic only,0
Taplejung,Both Sexes,10 - 14 Years,Seeking job only,0
Taplejung,Both Sexes,10 - 14 Years,Non economic only, 13540
Taplejung,Both Sexes,10 - 14 Years,Activity not stated,  98
Taplejung,Both Sexes,15 - 19 Years,Economic only,  984
Taplejung,Both Sexes,15 - 19 Years,Extended economic only,  17
Taplejung,Both Sexes,15 - 19 Years,Seeking job only,  17
Taplejung,Both Sexes,15 - 19 Years,Non economic only,  8914
Taplejung,Both Sexes,15 - 19 Years,Activity not stated,  80
Taplejung,Both Sexes,20 - 24 Years,Economic only,2217
Taplejung,Both Sexes,20 - 24 Years,Extended economic only,  17
Taplejung,Both Sexes,20 - 24 Years,Seeking job only,  17
Taplejung,Both Sexes,20 - 24 Years,Non economic only,  2700
Taplejung,Both Sexes,20 - 24 Years,Activity not stated,  33
Taplejung,Both Sexes,25 - 29 Years,Economic only,2550
Taplejung,Both Sexes,25 - 29 Years,Extended economic only,  25
Taplejung,Both Sexes,25 - 29 Years,Seeking job only,  25
Taplejung,Both Sexes,25 - 29 Years,Non economic only, 756
Taplejung,Both Sexes,25 - 29 Years,Activity not stated,0
Taplejung,Both Sexes,30 - 34 Years,Economic only,2245
Taplejung,Both Sexes,30 - 34 Years,Extended economic only,  25
Taplejung,Both Sexes,30 - 34 Years,Seeking job only,8
Taplejung,Both Sexes,30 - 34 Years,Non economic only, 365
Taplejung,Both Sexes,30 - 34 Years,Activity not stated,0
Taplejung,Both Sexes,35 - 39 Years,Economic only,2129
Taplejung,Both Sexes,35 - 39 Years,Extended economic only,  16
Taplejung,Both Sexes,35 - 39 Years,Seeking job only,0
Taplejung,Both Sexes,35 - 39 Years,Non economic only, 368
Taplejung,Both Sexes,35 - 39 Years,Activity not stated,0
Taplejung,Both Sexes,40 - 44 Years,Economic only,2333
Taplejung,Both Sexes,40 - 44 Years,Extended economic only,  33
Taplejung,Both Sexes,40 - 44 Years,Seeking job only,0
Taplejung,Both Sexes,40 - 44 Years,Non economic only, 264
Taplejung,Both Sexes,40 - 44 Years,Activity not stated,9
Taplejung,Both Sexes,45 - 49 Years,Economic only,1857
Taplejung,Both Sexes,45 - 49 Years,Extended economic only,  16
Taplejung,Both Sexes,45 - 49 Years,Seeking job only,0
Taplejung,Both Sexes,45 - 49 Years,Non economic only, 276
Taplejung,Both Sexes,45 - 49 Years,Activity not stated,0
Taplejung,Both Sexes,50 - 54 Years,Economic only,1687
Taplejung,Both Sexes,50 - 54 Years,Extended economic only,  33
Taplejung,Both Sexes,50 - 54 Years,Seeking job only,0
Taplejung,Both Sexes,50 - 54 Years,Non economic only, 419
Taplejung,Both Sexes,50 - 54 Years,Activity not stated,0
Taplejung,Both Sexes,55 - 59 Years,Economic only,1156
Taplejung,Both Sexes,55 - 59 Years,Extended economic only,  16
Taplejung,Both Sexes,55 - 59 Years,Seeking job only,0
Taplejung,Both Sexes,55 - 59 Years,Non economic only, 427
Taplejung,Both Sexes,55 - 59 Years,Activity not stated,0
Taplejung,Both Sexes,60 - 64 Years,Economic only,  959
Taplejung,Both Sexes,60 - 64 Years,Extended economic only,8
Taplejung,Both Sexes,60 - 64 Years,Seeking job only,0
Taplejung,Both Sexes,60 - 64 Years,Non economic only, 774
Taplejung,Both Sexes,60 - 64 Years,Activity not stated,0
Taplejung,Both Sexes,65 - 69 Years,Economic only,  443
Taplejung,Both Sexes,65 - 69 Years,Extended economic only,8
Taplejung,Both Sexes,65 - 69 Years,Seeking job only,0
Taplejung,Both Sexes,65 - 69 Years,Non economic only, 657
Taplejung,Both Sexes,65 - 69 Years,Activity not stated,0
