District,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Gender,Age-Group,Indicator,Sub-Indicator,Sub-Indicator.1,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Total Population,,,18450
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Native born,All native born,,18247
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in same district,,18208
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in other district,Rural,31
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Foreign born,,,31
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,00 - 04 Years,Birth Place not stated,,,172
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Total Population,,,19881
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Native born,All native born,,19685
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Native born,Born in same district,,19628
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Native born,Born in other district,Rural,57
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Native born,Born in other district,Urban,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Foreign born,,,33
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,05 - 09 Years,Birth Place not stated,,,163
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Total Population,,,19099
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Native born,All native born,,18905
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Native born,Born in same district,,18799
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Native born,Born in other district,Rural,97
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Native born,Born in other district,Urban,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Native born,Born in other district,Not stated,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Foreign born,,,32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,10 - 14 Years,Birth Place not stated,,,162
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Total Population,,,12370
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Native born,All native born,,12244
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Native born,Born in same district,,12143
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Native born,Born in other district,Rural,76
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Native born,Born in other district,Urban,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Native born,Born in other district,Not stated,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Foreign born,,,17
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,15 - 19 Years,Birth Place not stated,,,109
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Total Population,,,8027
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Native born,All native born,,7976
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Native born,Born in same district,,7804
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male,20 - 24 Years,Native born,Born in other district,Rural,111
