District,Age-Group,Economic Activity Performed,Active/Not Active,Employed/Unemployed,Gender,Value
Taplejung,  10 - 14 Years,Total Population 10 Yrs. and above,,,,17411
Taplejung,  10 - 14 Years,Economically Active,Usually Active,Employed,Male,426
Taplejung,  10 - 14 Years,Economically Active,Usually Active,Employed,Female,278
Taplejung,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Male,0
Taplejung,  10 - 14 Years,Economically Active,Usually Active,Unemployed,Female,16
Taplejung,  10 - 14 Years,Economically Active,Not Usually Active,,Male,1721
Taplejung,  10 - 14 Years,Economically Active,Not Usually Active,,Female,1332
Taplejung,  10 - 14 Years,Not Economically Active,,,Male,6417
Taplejung,  10 - 14 Years,Not Economically Active,,,Female,7122
Taplejung,  10 - 14 Years,Economic Activity Not Stated,,,Male,50
Taplejung,  10 - 14 Years,Economic Activity Not Stated,,,Female,48
Taplejung,  15 - 19 Years,Total Population 10 Yrs. and above,,,,15690
Taplejung,  15 - 19 Years,Economically Active,Usually Active,Employed,Male,1750
Taplejung,  15 - 19 Years,Economically Active,Usually Active,Employed,Female,1948
Taplejung,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Male,33
Taplejung,  15 - 19 Years,Economically Active,Usually Active,Unemployed,Female,16
Taplejung,  15 - 19 Years,Economically Active,Not Usually Active,,Male,1509
Taplejung,  15 - 19 Years,Economically Active,Not Usually Active,,Female,1441
Taplejung,  15 - 19 Years,Not Economically Active,,,Male,4309
Taplejung,  15 - 19 Years,Not Economically Active,,,Female,4604
Taplejung,  15 - 19 Years,Economic Activity Not Stated,,,Male,25
Taplejung,  15 - 19 Years,Economic Activity Not Stated,,,Female,55
Taplejung,  20 - 24 Years,Total Population 10 Yrs. and above,,,,10299
Taplejung,  20 - 24 Years,Economically Active,Usually Active,Employed,Male,2685
Taplejung,  20 - 24 Years,Economically Active,Usually Active,Employed,Female,3745
Taplejung,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Male,8
Taplejung,  20 - 24 Years,Economically Active,Usually Active,Unemployed,Female,34
Taplejung,  20 - 24 Years,Economically Active,Not Usually Active,,Male,407
Taplejung,  20 - 24 Years,Economically Active,Not Usually Active,,Female,686
Taplejung,  20 - 24 Years,Not Economically Active,,,Male,1090
Taplejung,  20 - 24 Years,Not Economically Active,,,Female,1610
Taplejung,  20 - 24 Years,Economic Activity Not Stated,,,Male,16
Taplejung,  20 - 24 Years,Economic Activity Not Stated,,,Female,17
Taplejung,  25 - 29 Years,Total Population 10 Yrs. and above,,,,8017
Taplejung,  25 - 29 Years,Economically Active,Usually Active,Employed,Male,2769
Taplejung,  25 - 29 Years,Economically Active,Usually Active,Employed,Female,4053
