District,Gender,Age-Group,Type of activity performed 1,Month,Value
Taplejung,Male,10 - 14 Years,Any work total person,, 8615
Taplejung,Male,10 - 14 Years,Economic,< 3 months,1161
Taplejung,Male,10 - 14 Years,Economic,3 - 5 months, 368
Taplejung,Male,10 - 14 Years,Economic,6 - 7 months, 201
Taplejung,Male,10 - 14 Years,Economic,8+ months,  159
Taplejung,Male,10 - 14 Years,Extended economic,< 3 months, 485
Taplejung,Male,10 - 14 Years,Extended economic,3 - 5 months,92
Taplejung,Male,10 - 14 Years,Extended economic,6 - 7 months,  0
Taplejung,Male,10 - 14 Years,Extended economic,8+ months,0
Taplejung,Male,10 - 14 Years,Seeking economic job,< 3 months, 58
Taplejung,Male,10 - 14 Years,Seeking economic job,3-5 months,25
Taplejung,Male,10 - 14 Years,Seeking economic job,6-7 months, 0
Taplejung,Male,10 - 14 Years,Seeking economic job,8+ months,0
Taplejung,Male,10 - 14 Years,Non-economic work,< 3 months, 84
Taplejung,Male,10 - 14 Years,Non-economic work,3 - 5 months, 109
Taplejung,Male,10 - 14 Years,Non-economic work,6 - 7 months,217
Taplejung,Male,10 - 14 Years,Non-economic work,8+ months, 8064
Taplejung,Male,10 - 14 Years,Activity not stated,,  50
Taplejung,Male,15 - 19 Years,Any work total person,, 7627
Taplejung,Male,15 - 19 Years,Economic,< 3 months, 950
Taplejung,Male,15 - 19 Years,Economic,3 - 5 months, 475
Taplejung,Male,15 - 19 Years,Economic,6 - 7 months, 283
Taplejung,Male,15 - 19 Years,Economic,8+ months, 1350
Taplejung,Male,15 - 19 Years,Extended economic,< 3 months, 675
Taplejung,Male,15 - 19 Years,Extended economic,3 - 5 months,  167
Taplejung,Male,15 - 19 Years,Extended economic,6 - 7 months, 33
Taplejung,Male,15 - 19 Years,Extended economic,8+ months,  25
Taplejung,Male,15 - 19 Years,Seeking economic job,< 3 months,333
Taplejung,Male,15 - 19 Years,Seeking economic job,3-5 months,83
Taplejung,Male,15 - 19 Years,Seeking economic job,6-7 months,33
Taplejung,Male,15 - 19 Years,Seeking economic job,8+ months,  17
Taplejung,Male,15 - 19 Years,Non-economic work,< 3 months,383
Taplejung,Male,15 - 19 Years,Non-economic work,3 - 5 months, 217
Taplejung,Male,15 - 19 Years,Non-economic work,6 - 7 months,208
Taplejung,Male,15 - 19 Years,Non-economic work,8+ months, 5743
Taplejung,Male,15 - 19 Years,Activity not stated,,  25
Taplejung,Male,20 - 24 Years,Any work total person,, 4207
Taplejung,Male,20 - 24 Years,Economic,< 3 months, 171
Taplejung,Male,20 - 24 Years,Economic,3 - 5 months, 277
Taplejung,Male,20 - 24 Years,Economic,6 - 7 months, 309
Taplejung,Male,20 - 24 Years,Economic,8+ months, 2262
Taplejung,Male,20 - 24 Years,Extended economic,< 3 months, 431
Taplejung,Male,20 - 24 Years,Extended economic,3 - 5 months,  203
Taplejung,Male,20 - 24 Years,Extended economic,6 - 7 months, 57
Taplejung,Male,20 - 24 Years,Extended economic,8+ months,  16
Taplejung,Male,20 - 24 Years,Seeking economic job,< 3 months,252
Taplejung,Male,20 - 24 Years,Seeking economic job,3-5 months,  122
Taplejung,Male,20 - 24 Years,Seeking economic job,6-7 months,16
Taplejung,Male,20 - 24 Years,Seeking economic job,8+ months,8
Taplejung,Male,20 - 24 Years,Non-economic work,< 3 months,521
Taplejung,Male,20 - 24 Years,Non-economic work,3 - 5 months, 293
Taplejung,Male,20 - 24 Years,Non-economic work,6 - 7 months,179
Taplejung,Male,20 - 24 Years,Non-economic work,8+ months, 1440
Taplejung,Male,20 - 24 Years,Activity not stated,,  16
Taplejung,Male,25 - 29 Years,Any work total person,, 3082
Taplejung,Male,25 - 29 Years,Economic,< 3 months,  42
Taplejung,Male,25 - 29 Years,Economic,3 - 5 months, 161
Taplejung,Male,25 - 29 Years,Economic,6 - 7 months, 347
Taplejung,Male,25 - 29 Years,Economic,8+ months, 2235
Taplejung,Male,25 - 29 Years,Extended economic,< 3 months, 373
Taplejung,Male,25 - 29 Years,Extended economic,3 - 5 months,  152
Taplejung,Male,25 - 29 Years,Extended economic,6 - 7 months, 68
Taplejung,Male,25 - 29 Years,Extended economic,8+ months,  42
Taplejung,Male,25 - 29 Years,Seeking economic job,< 3 months,169
Taplejung,Male,25 - 29 Years,Seeking economic job,3-5 months,  161
